fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2025-UDU-0001,2025-08-21,Udupi,Basu Chowk,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-SHI-0002,2025-12-18,Shivamogga,Ravi Marg,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-KAL-0003,2025-03-05,Kalaburagi,Bhatia Chowk,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-MAN-0004,2024-08-29,Mandya,Varughese Zila,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2024-VIJ-0005,2024-04-03,Vijayapur,Kanda Chowk,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-KAL-0006,2025-09-02,Kalaburagi,Rajan Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-DAK-0007,2025-08-25,Dakshina Kannada,Deshpande Marg,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-BAL-0008,2025-05-30,Ballari,Ramakrishnan Path,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2025-BAG-0009,2025-12-30,Bagalkot,Kashyap Circle,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0010,2025-11-01,Raichur,Savant Ganj,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2025-KAL-0011,2025-11-12,Kalaburagi,Bhatia Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-SHI-0012,2024-10-21,Shivamogga,Master Street,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-DHA-0013,2024-08-19,Dharwad,Bhardwaj Path,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-KAL-0014,2025-11-04,Kalaburagi,Butala Nagar,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-DAK-0015,2024-06-08,Dakshina Kannada,Sankaran Chowk,Murder,BNS 103,property dispute,court-pending,True
FIR-2025-BEL-0016,2025-03-16,Belagavi,Deol Street,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-KAL-0017,2024-08-04,Kalaburagi,Dhawan,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-BAG-0018,2024-01-20,Bagalkot,Kashyap Circle,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-UDU-0019,2024-09-06,Udupi,Talwar Marg,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
